name,lastrevid
Fiel Domingos Constantino,1082902869
Abraão Gourgel,1080440646
Maria Monteiro Jardin,1095470855
José da Rocha,1094974511
Mateus de Brito Júnior,1054271575
Kambamba Kulaxingo,1093124425
Abel Xavier Nzuzi Lubota,1080325199
David Mendes,1024544204
Fernando Faustino Muteka,1079490106
José Ndele,1101583647
Daniel Ntongi-Nzinga,848334573
Pedro Tonho Pedale,1113903559
Elias Salupeto Pena,994023688
Pinda Simão,1115384278
Johnny Eduardo Pinnock,992923654
Santana André Pitra,886771177
José Aníbal Lopes Rocha,985054758
Luís Gomes Sambo,1114131425
José Filomeno dos Santos,1111269228
Jonas Savimbi,1115807457
Manuel Bernardo de Sousa,886461023
Augusto da Silva Tomás,1112407992
Luzia Inglês Van-Dúnem,1067323463
Manuel Vicente,1106406859
Mfulupinga Nlando Victor,994085067
Randolph Beazer,1094157275
Studiation Brown,825090349
Colin O'Neil Browne,1108425154
James Carlisle,1112658085
Gail Christian,1082380535
Osbert Richard Frederick,1082381271
William Haynes-Smith,1037116181
Tim Hector,1075044001
Cheryl Mary Clare Hurst,1082380270
Wilfred Jacobs,1110866224
Harold Lovell,1106157497
John Lyons (Antiguan politician),1102523754
Edmond Mansoor,1106044619
Joanne Massiah,1095742971
Melford Walter Nicholas,1113392435
Bernard Percival,1073473676
Alincia Williams-Grant,1080767913
Joaquín Samuel de Anchorena,1096421201
Juan Agustín Augier,989941326
Uladislao Augier,1083670137
Joaquín Belgrano,1033486500
Antonio Bermejo,1111012579
Antonio Beruti,1072761348
Héctor Bidonde,1091652004
Silvano Bores,1035890502
Pedro Braillard Poccard,1100848745
Exequiel Bustillo,1096179751
Mario Cafiero,1102185475
Alberto Manuel Campos,1073206939
Alejo Castex,1096414709
Dámaso Centeno,1096183091
Carlos Corach,1068148753
Jorge Coscia,1099409991
Juan Carlos Del Bello,1100037128
Luis L. Domínguez,1089356576
Máximo Etchecopar,1115155777
Héctor Toty Flores,1067754685
Juan Fugl,1073206214
Santiago Gallo,1039135531
Manuel José García,1007128573
Juan José Gómez Centurión,1110844685
Luis Carlos Gómez Centurión,1040878894
Martín Guzmán,1111128923
Federico Helguera,1066754349
Fernando Iglesias (Argentine politician),1093400021
Ricardo Kennedy,1096426574
Carlos Kunkel,1005790906
Norberto La Porta,721029407
Andrés Larroque,1060504858
Julián de Leyva,959654287
Mónica López (politician),797826672
Lucio Victorio Mansilla,1086339086
Nicolás Massot,1069153148
Juan Mignaburu,994878410
Guillermo Montenegro,1096175549
Mariano Moreno,1113829451
Marcelo Muniagurria,1108926646
Fernando Nadra,1105357958
Rómulo Sebastián Naón,1096261399
Santiago G. O'Farrell,1096261487
Miguel Ángel Pesce,1096459313
Carlos Petroni,1100374393
Alejo Peyret,1091481103
Aldo Pignanelli,1106856167
Enrique S. Quintana,1016343362
Amán Rawson,1096678788
Martín Sabbatella,1073202733
Juan Pablo Schiavi,1069152180
Héctor Tizón,1096176230
Claudio Uberti,1032047313
Arístides Villanueva,994807413
Artashes Abeghyan,1088583026
Aram Achekbashian,1046857776
Hovsep Arghutian,1095822812
Mikael Atabekyan,1008108682
Tigran Bekzadyan,1027604306
Vigen Chitechyan,1099308421
Hayk Chobanyan,1093711595
Daniel-Bek of Sassun,1114419837
Gurgen Egiazaryan,1103745376
Parunak Ferukhan,1114420012
Hambardzum Galstyan,1084735335
Gegham Gharibjanian,1048485720
Gevorg Ghazaryan (politician),1082547991
Andrias Ghukasyan,1108345283
Aram Grigoryan,1112117000
Armen Grigoryan (politician),1069944070
Hayk Grigoryan,1090623549
Grigor Jaghetyan,1062820993
Tigran Karapetyan,1112833785
Khachatur-Bek of Mush,1114420639
Aram Kocharyan,1107982644
Davit Lokyan,1089241404
Hrant Maloyan,1114902744
Khachatur Malumian,1114420669
Aram Manukyan,1048512708
Gevorg Melik-Karagyozyan,980519720
Vahan Minakhoryan,1055697655
Ruben Mirzakhanyan,1084737845
Badal Muradyan,1090630537
Gabriel Noradunkyan,1114426086
Suren Papikyan,1112772824
Paul Paul,1114420707
Garo Paylan,1104655518
Genrikh Poghosyan,1085393392
Ishkhan Saghatelyan,1107169295
Martiros Sarukhanyan,933482772
Vartkes Serengülian,1114426992
Serop Zakaryan,1057547947
Servitchen,1114420738
Suren Shadunts,1109564586
Kasbar Sinabian,1114426546
Ohannes Tchekidjian,1090861179
Hrayr Tovmasyan,993785842
Usuv Beg,1086955149
Kegham Vanigian,1114420793
Artak Zeynalyan,1097086972
Alfons Adam,1103541474
Ingo Appelt,997950968
Baron Alexander von Bach,1114355363
"Maximilian Anton Karl, Count Baillet de Latour",1112473939
Heinrich Alfred Barb,1092809567
Raphael Basch,1023595642
Leopold Berchtold,1089443270
Hanns Blaschke,1115530871
Andreas Bolek,1005030653
Joseph Buttinger,1080982386
Prince Carl of Solms-Braunfels,1107215721
Count Wenzel Chotek of Chotkow and Wognin,1083654825
Citizens' Ministry,1071736555
Richard von Coudenhove-Kalergi,1108787206
Karl von Czyhlarz,1021127705
George Abraham von Dyhrn,1007538469
Hans Ferlitsch,941916920
Friedhelm Frischenschlager,1018809630
Anton Füster,1078570802
Julius Anton Glaser,1112473750
Walter Guggenberger,1112473762
Ulrich Habsburg-Lothringen,1112474612
Ernst Hampel (politician),1069436586
Franz von Hartig,1007537619
Hans Peter Haselsteiner,1112603346
Friedrich Wilhelm von Haugwitz,1112275892
Eduard Hedvicek,1115494542
Eduard Herbst,1007530580
Hermann Stern,1101206070
Jürgen Himmelbauer,969146003
Anton Hofer,1105446235
Andreas Hörtnagl,969145984
Franz Jetzinger,1086163096
Konstantin Jireček,1100601439
Hugo Jury,1115504900
Maximilian Ulrich von Kaunitz,1087172023
Joseph Kenner,1112603390
Theodor Kery,1065573627
Michael Killisch-Horn,1106829544
Hubert Klausner,1111898436
Martin Kocher,1088269446
Józef Kożdoń,1112603867
Jožef Krajnc,1114850674
Hans Kudlich,1048166289
Gottfried von Kühnelt-Leddihn,1068422030
Hartmann Lauterbacher,1070877897
Otto Lecher,1033894166
Franz Leitner (politician),1010887552
Elmar Lichtenegger,1058620648
Julius Lippert (historian),1084061853
Karl Lütgendorf,1112474529
Jürgen Mandl,977059921
Renate Mann,1099978355
Ferdinand Mannlicher,1104118829
Christoph Matznetter,1105484317
Johann Gregor Memhardt,1112474313
Franz Moroder,1090940019
Heinz Nittel,1109478769
Brigitta Pallauf,1033512296
Wladimir von Pawlowski,1019694668
Johann Anton von Pergen,1061803495
Gerhard Pfanzelter,1106125275
Walter Pfrimer,1113533881
Ernst von Plener,1017745075
Leopold Poetsch,1092446707
Thomas Prinzhorn,1112474168
Hermann von Ramberg,994058910
Heinrich Reschauer,1083947896
Horst Rosenkranz,1112603574
Emil Sax,1007521446
Karl Schmitzer,1089049732
Georg Ritter von Schönerer,1114549144
"Georg Adam, Prince of Starhemberg",1102889087
Gundaker Thomas Starhemberg,1078907075
Josef Staribacher,1049705609
Richard Steidle,1112576338
Julius Tandler,1077100690
"Leopold, Count von Thun und Hohenstein",1096753974
Muzio Tommasini,1093955134
Karl Freiherr von Vogelsang,1016446506
Max Winter (politician),1112474387
Anton von Winzor,1045934334
Gisela Wurm,1038160173
Alexander Zach,1056085498
Curt Franz Wenzel Christoph Erdmann Graf Zedtwitz von Moraván und Duppau,1111962495
Karl von Zinzendorf,1112603523
Muzamil Abdullayev,1107065506
Leyla Abdullayeva,1102138152
Elchin Afandiyev,1075526613
Fazail Agamali,1106843986
Fuad Alasgarov,1018398706
Anvar Alikhanov,1109309028
Tarlan Aliyarbayov,1112064160
Dilara Aliyeva,1109649588
Ali Asadov,1112134949
Akram Aylisli,1106344373
Sahil Babayev,1112800095
Huseyngulu Baghirov,1080007779
Alovsat Bakhshiyev,1090036474
Rafael Kamil Dzhabrailov,1100266382
Matin Eynullayev,1110146340
Vilayat Eyvazov,1109686454
Abdurrahman Fatalibeyli,1094730548
Fazail Ibrahimli,1096310851
Solomon Grobshtein,1067081975
Teymur Guliyev,1025325196
Mammad Gurbanov,1101536288
Asaf Hajiyev,1114198988
Farhad Hajiyev,1109686109
Jamil Hasanli,1091283791
Ali M. Hasanov,1104973679
Shakir Hasanov,1096145690
Zakir Hasanov,1110113628
Ali Huseynli,1090157253
Alisahib Huseynov,1080007304
Ali Ibrahimov,1067793317
Mammad Isgandarov,1029087103
Vidadi Isgandarov,1092547948
Ajdar Ismailov,1096490381
Saftar Jafarov,1045812028
Rovshan Javadov,1108873335
Anar Karimov,1109685880
Boris Kevorkov,1072772142
Gurban Khalilov,1094981152
Ahmad Kordary,1093750341
Ilham Madatov,1011331249
Musa Mammadov,1084134498
Ramin Mammadov,1115614823
Elshad Mirbashir oghlu,1084157904
Fuad Naghiyev,1081854289
Eldar Namazov,1087483504
Siyavush Novruzov,1114475460
Sadig Rahimov,1074822020
Suleyman Rahimov,1096039626
Huseyn Rahmanov,1106104383
Hasan Sayidov,1025325260
Parviz Shahbazov,1105103095
Mammad agha Shahtakhtinski,1080672703
Abid Sharifov,1096574448
Bakhtiyar Vahabzadeh,1114287934
Elmir Valiyev,1074732244
Nurali Yusifbayli,1019924574
Harold Christie,1083155826
Timothy Donaldson,1109457989
Joseph Robert Love,1084382477
Mohammed Isa Al Abbasi,1021088682
Abdullah bin Isa Al Khalifa,1011511102
Ahmed Behzad (Bahrain),1063482737
Kamal Ahmed (politician),1010461395
Mohamed Ali Hasan Ali,1006173162
Khalid Almoayed,1063486161
Aymen Tawfeeq Almoayed,1109935820
Nazar Al Baharna,1067620253
Mahmood Al Bahrani,1096789330
Ammar Al Bannai,1089564533
Jawad Fairooz,1088485834
Qasim Fakhro,1099067663
Faisal al-Hamar,1068897458
Nabeel bin Yaqub Al-Hamar,1096789114
Isa bin Abdulrahman Al Hammadi,1098344827
Jameel Humadan,1003695133
Isa bin Ibrahim Al Khalifa,1033132904
Fahmi al-Jowder,1068744646
Saud Kanoo,1098699647
Essam Khalaf,1006167519
Abdullah bin Hamad bin Isa Al Khalifa,1099004905
Ibrahim ibn Khalifa Al Khalifa,1107463771
Mai bint Mohammed Al Khalifa,1085733309
Khallfa bin Duaij Al Khalifa,1022106863
Hamad Al Kooheji,1096789043
Abdullatif Al-Mahmood,1072499529
Khalid Al Maskati,1096789192
Abdulhussain bin Ali Mirza,1106388662
Mohammed Al-Buainain,1063213013
Mohammed bin Khalifa bin Ahmed,1087144216
Mohammed bin Khalifa bin Ali Al Khalifa,1096789150
Abdulrahman al-Nuaimi,1066056398
